2026-05-25 11:00:34 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:34 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#145)
2026-05-25 11:00:35 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=False (station=station_001 msg#4438)
2026-05-25 11:00:35 | DEBUG    | services.leak_detection:46 | Leak check: drop_rate=0.0000%/s moisture=0.0% pumps=False level=0.0%
2026-05-25 11:00:35 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#146)
2026-05-25 11:00:35 | DEBUG    | routers.commands:106 | Events query: station=163bd631-aedd-42a7-8f2f-f7dc503b7977 limit=50 filter=none
2026-05-25 11:00:35 | DEBUG    | routers.commands:118 | Returning 50 event(s) for station=163bd631-aedd-42a7-8f2f-f7dc503b7977
2026-05-25 11:00:35 | DEBUG    | main:99 | HTTP GET /api/stations/163bd631-aedd-42a7-8f2f-f7dc503b7977/events → 200 (6.8 ms)
2026-05-25 11:00:35 | INFO     | routers.commands:32 | Pump command received: action='on' station=163bd631-aedd-42a7-8f2f-f7dc503b7977 (current level=unknown pumps=False)
2026-05-25 11:00:35 | INFO     | services.pump_control:65 | Pump state change: False → True (station=163bd631-aedd-42a7-8f2f-f7dc503b7977)
2026-05-25 11:00:35 | DEBUG    | services.pump_control:70 | Command 'pumps_on' sent to Arduino (station=163bd631-aedd-42a7-8f2f-f7dc503b7977)
2026-05-25 11:00:35 | DEBUG    | services.pump_control:105 | Event 'pumps_on' persisted to DB (station=163bd631-aedd-42a7-8f2f-f7dc503b7977)
2026-05-25 11:00:35 | INFO     | routers.commands:49 | fill_start event logged (station=163bd631-aedd-42a7-8f2f-f7dc503b7977 level=None)
2026-05-25 11:00:35 | DEBUG    | main:99 | HTTP POST /api/stations/163bd631-aedd-42a7-8f2f-f7dc503b7977/pumps → 200 (10.1 ms)
2026-05-25 11:00:36 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=True (station=station_001 msg#4439)
2026-05-25 11:00:36 | DEBUG    | routers.websocket:210 | Measurement saved: level=0.0% volume=0.00L moisture=0.0% (station=station_001)
2026-05-25 11:00:36 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#147)
2026-05-25 11:00:37 | DEBUG    | routers.websocket:153 | Nano1 data: distance=24.0cm level=0.0% volume=0.00L pumps=True (station=station_001 msg#4440)
2026-05-25 11:00:37 | DEBUG    | routers.websocket:235 | VPS state push sent (station=station_001)
2026-05-25 11:00:37 | INFO     | routers.commands:32 | Pump command received: action='off' station=163bd631-aedd-42a7-8f2f-f7dc503b7977 (current level=unknown pumps=True)
2026-05-25 11:00:37 | INFO     | services.pump_control:65 | Pump state change: True → False (station=163bd631-aedd-42a7-8f2f-f7dc503b7977)
2026-05-25 11:00:37 | DEBUG    | services.pump_control:70 | Command 'pumps_off' sent to Arduino (station=163bd631-aedd-42a7-8f2f-f7dc503b7977)
2026-05-25 11:00:37 | DEBUG    | services.pump_control:105 | Event 'pumps_off' persisted to DB (station=163bd631-aedd-42a7-8f2f-f7dc503b7977)
2026-05-25 11:00:37 | INFO     | routers.commands:54 | fill_stop event logged (station=163bd631-aedd-42a7-8f2f-f7dc503b7977 level=None)
2026-05-25 11:00:37 | DEBUG    | main:99 | HTTP POST /api/stations/163bd631-aedd-42a7-8f2f-f7dc503b7977/pumps → 200 (12.4 ms)
2026-05-25 11:00:37 | DEBUG    | routers.websocket:252 | Nano2 data: moisture=0.0% raw=1023 (station=station_001 msg#148)
2026-05-25 11:00:37 | INFO     | routers.commands:32 | Pump command received: action='on' station=163bd631-aedd-42a7-8f2f-f7dc503b7977 (current level=unknown pumps=False)
2026-05-25 11:00:37 | INFO     | services.pump_control:65 | Pump state change: False → True (station=163bd631-aedd-42a7-8f2f-f7dc503b7977)
2026-05-25 11:00:37 | DEBUG    | services.pump_control:70 | Command 'pumps_on' sent to Arduino (station=163bd631-aedd-42a7-8f2f-f7dc503b7977)
2026-05-25 11:00:37 | DEBUG    | services.pump_control:105 | Event 'pumps_on' persisted to DB (station=163bd631-aedd-42a7-8f2f-f7dc503b7977)
2026-05-25 11:00:37 | INFO     | routers.commands:49 | fill_start event logged (station=163bd631-aedd-42a7-8f2f-f7dc503b7977 level=None)
2026-05-25 11:00:37 | DEBUG    | main:99 | HTTP POST /api/stations/163bd631-aedd-42a7-8f2f-f7dc503b7977/pumps → 200 (8.7 ms)
